id,title,image,category,description,location,presentation,reservation,prix
3835155,EBIKEPREMIUM - LOCATION VELO,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9ycGMwMDctcHJldmlldy5qcGc=/image.jpg,CYCLOTOURISME,, Montpellier,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/ebikepremium-location-velo-montpellier-fr-3835155/,https://book.montpellier-tourisme.fr/fr/voir-faire/1929911/location-v%c3%a9lotrottinette-avec-ebikepremium/afficher-les-details?page=2&sorting=st%3Drnd%3Bso%3Da&filter=c%3D32329%2C32326%2C32325,
3834746,THÉÂTRE LE POINT COMÉDIE,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC8tLURTQy02OTAwLmpwZw==/image.jpg,AUDITORIUM,, Montpellier,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/theatre-le-point-comedie-montpellier-fr-3834746/,https://book.montpellier-tourisme.fr/fr/voir-et-a-faire?filter=c%3D32320%2C32324%3Bd%3D20220408%7C99991231,
3834935,LOC'KARTING,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9hbWJpYW5jZTEuSlBH/image.jpg,CIRCUIT/PISTE SPORTS MÉCANIQUES,, Pérols,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/lockarting-perols-fr-3834935/,https://book.montpellier-tourisme.fr/fr/voir-faire/a1250342/lockarting/afficher-les-details,
3911733,VIGNO'VINS,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9WSUdOT1ZJTlMtT1RNLVRTRi04LmpwZw==/image.jpg,ACTIVITÉS CULTURELLES,, Saint-Laurent-d'Aigouze,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/vignovins-saint-laurent-daigouze-fr-3911733/,https://book.montpellier-tourisme.fr/fr/voir-et-a-faire?search=t=VIGN%27o;title=t|VIGN%27o&sorting=st=rnd;so=a,
3911702,CAMARGUE AUTREMENT SAFARI EN VÉLO ÉLECTRIQUE,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9DQS0yMi0yNjUtYi5qcGc=/image.jpg,VÉLO À ASSISTANCE ÉLECTRIQUE,, Le Grau-du-Roi,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/camargue-autrement-safari-en-velo-electrique-le-grau-du-roi-fr-3911702/,https://book.montpellier-tourisme.fr/fr/voir-faire/1983082/safari-en-v%c3%a9lo-%c3%a9lectrique-avec-camargue-autrement/afficher-les-details?page=1&sorting=st%3Drnd%3Bso%3Da&search=cbispid%3D1983082%3Btitle%3Dcbispid%7CSafari%20en%20v%C3%A9lo%20%C3%A9lectri,49 €
3835374,L'ARBRE BLANC,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC8xMjY1Mjc2NjAtMTA5Mjc5ODQzNDQ4NzU0NS03MjMzNTc0NjA4MTg3NDE0OTk0LW4uanBn/image.jpg,BÂTIMENTS CIVILS,, Montpellier,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/patrimoine-et-musees/tout-le-patrimoine-musees-monuments/larbre-blanc-montpellier-fr-3835374/,https://book.montpellier-tourisme.fr/fr/voir-faire/2099639/l-arbre-blanc/afficher-les-details?sorting=st%3Drnd%3Bso%3Da&search=cbispid%3D2099639%3Btitle%3Dcbispid%7CL%27%20Arbre%20Blanc&filter=c%3D32319%2C51385%2C36839%2C50547%2C47082,
4172190,DESTINATION OCCITANIE,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9QaG90by1jb3V2ZXJ0dXJlLUZCLnBuZw==/image.jpg,ACTIVITÉS CULTURELLES,, Montpellier,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/destination-occitanie-montpellier-fr-4172190/,https://book.montpellier-tourisme.fr/fr/voir-et-a-faire?filter=c=56111&sorting=st=rnd;so=a,
3911809,PHIL LE GUIDE PASSION EN ECO-4X4 HYDROGENE ET VISITES GUIDEES A PIED,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9BQUEtVmVoaWN1bGUtUGhpbC1lbi1yb3V0ZS1wb3VyLWwtZXhjdXJzaW9uLW9jdC0yMDE5LmpwZw==/image.jpg,ACTIVITÉS PÉDESTRES,, Le Grau-du-Roi,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/phil-le-guide-passion-en-eco-4x4-hydrogene-et-visites-guidees-a-pied-le-grau-du-roi-fr-3911809/,https://book.montpellier-tourisme.fr/fr/voir-faire/1428805/d%c3%a9couvrir-et-comprendre-la-camargue-in%c3%a9dite-m%c3%a9connue-avec-ph/afficher-les-details?page=2&sorting=st%3Drnd%3Bso%3Da&search=s%3D20211004%3Be%3D99991231&filter=c%3D34830%2C25166%2C40230,
4661162,WISUD,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9JTUctMDg0MC0yLmpwZWc=/image.jpg,ACTIVITÉS CULTURELLES,, Juvignac,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/tous-les-loisirs-et-activites/wisud-juvignac-fr-4661162/,https://book.montpellier-tourisme.fr/fr/voir-et-a-faire?search=t=WISUD;title=t|WISUD&sorting=st=rnd;so=a,
3835509,MUSÉE D’ART BRUT / MONTPELLIER,https://api.cloudly.space/resize/cropratioresize/460/345/60/aHR0cHM6Ly9jZHQzNC5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9hdGVsaWVyLW11c2VlLW1pY2hlbC1mZXJuYW5kLTMtMi5qcGc=/image.jpg,"MUSÉES, CENTRES D'INTERPRÉTATION ET COLLECTIONS",, Montpellier,https://www.montpellier-tourisme.fr/sejourner/loisirs-et-activites/patrimoine-et-musees/tout-le-patrimoine-musees-monuments/musee-dart-brut-montpellier-montpellier-fr-3835509/,https://book.montpellier-tourisme.fr/fr/voir-faire/a1594358/mus%C3%A9e-dart-brut-montpellier/afficher-les-details,
